url,host,tld,scheme,url_length,path_length,host_length,host_is_ip,has_port_in_string,num_digits,parameters,fragments,is_encoded,string_entropy,alexa_dis_similarity,subdirectories,periods,has_client,has_login,has_admin,has_server,num_encoded_chars,page_entropy,num_script_tags,script_to_body_ratio,html_length,page_tokens,num_sentences,num_punctuations,distinct_tokens,capitalizations,avg_tokens_per_sentence,num_html_tags,num_hidden_tags,num_iframes,num_embeds,num_objects,hyperlinks,num_whitespaces,num_included_elemets,num_double_documents,num_suspicious_elements,num_eval_functions,avg_script_length,avg_script_entropy,num_suspicious_functions,num_subdomains,registration_date,expiration_date,last_updates_dates,age,intended_life_span,life_remaining,registrar,reg_country,host_country,open_ports,num_open_ports,is_live,isp,connection_speed,avg_update_days,total_updates,ttl,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,dns_record,page_rank,tag
['http://grup-wae6xl.terbaru-2023.com/'],104.21.67.119,com,http,36,1,28,False,False,5,0,0,False,4.384795487373133,0,2,2,False,False,False,False,0,4.6416152423596895,0,0,111,7,2,10,7,2,4.0,4,0,0,0,0,0,2,0,-1,4,0,0,0,0,1,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2053, 2086, 2087, 2095, 80, 8880, 8443, 443]",11,True,"Cloudflare, Inc.",2.353249,0,0,0,36,28,Don't have Ip in url,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.1388888888888889,0.17857142857142858,0,0,0,0,0,2,0,0,0,1,0,4,0,4,4,0,7,7,0,5.25,5.25,0,0,0,0,0,com is not a suspecious tld,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,180,0,0,phishing
['http://facebooksecuritys.blogspot.com.au/'],142.250.66.129,au,http,41,1,33,False,False,0,0,0,False,4.171474187957336,0,2,3,False,False,False,False,0,5.374862917186575,7,0.282997663620501,33813,2593,398,5600,990,923,7.032663316582915,284,0,0,0,0,5,1926,2,0,284,0,1366.142857142857,3.4629886809764363,3,1,2009-09-25 05:40:03,2024-09-25 05:40:03,2023-08-24 09:51:56,5134,5479,344,"MarkMonitor, Inc.",US,HK,"[80, 443]",2,True,Google LLC,0.932063,0,0,5134,41,33,Don't have Ip in url,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,t.co,0,1,0,2,1,8,8,0,17,17,0,12.5,12.5,0,0,0,0,0,com.au is not a suspecious tld,0,0,1,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,0,0,4,phishing
['https://cumantest.eventmaterialfree.com/'],104.21.71.224,com,https,40,1,31,False,False,0,0,0,False,3.9398227820087546,0,2,2,False,False,False,False,0,5.252980930166824,5,0.0001456876456876457,27456,2268,234,3583,793,469,10.260683760683762,299,0,0,0,0,4,1725,5,0,299,0,0.0,0.0,0,1,None,None,None,0,0,0,,,US,"[2096, 2082, 2083, 2052, 2086, 2087, 80, 8880, 8443, 443]",10,True,"Cloudflare, Inc.",0.260698,0,0,0,40,31,Don't have Ip in url,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,2,1,9,9,0,17,17,0,13.0,13.0,0,0,0,0,0,com is not a suspecious tld,0,0,1,38.46153846153847,0,82.6086956521739,17.391304347826086,0,0,0,0,0,0,0,1,1,0,75,0,0,phishing
['http://claim.icc10.biz.id/'],172.67.199.118,id,http,26,1,18,False,False,2,0,0,False,3.767183467891461,0,2,3,False,False,False,False,0,1.584962500721156,0,0,3,1,1,0,1,2,1.0,1,0,0,0,0,0,0,0,-3,1,0,0,0,0,1,None,None,None,0,0,0,,,US,"[2096, 2082, 2083, 2086, 2087, 80, 8880, 8080, 8443, 443]",10,True,"Cloudflare, Inc.",0.613978,0,0,0,26,18,Don't have Ip in url,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.07692307692307693,0.1111111111111111,0,0,0,0,0,3,0,0,0,0,0,2,1,5,5,0,5,5,0,5.0,5.0,0,0,0,0,0,biz.id is not a suspecious tld,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,354,0,0,phishing
['http://facebooksecuritys.blogspot.co.id/'],142.250.66.129,id,http,40,1,32,False,False,0,0,0,False,4.156198332810095,0,2,3,False,False,False,False,0,5.374862917186575,7,0.282997663620501,33813,2593,398,5600,990,923,7.032663316582915,284,0,0,0,0,5,1926,2,0,284,0,1366.142857142857,3.4629886809764363,3,1,2009-09-25 05:40:03,2024-09-25 05:40:03,2023-08-24 09:51:56,5134,5479,344,"MarkMonitor, Inc.",US,HK,"[80, 443]",2,True,Google LLC,1.223805,0,0,5134,40,32,Don't have Ip in url,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,t.co,0,1,0,2,1,8,8,0,17,17,0,12.5,12.5,0,0,0,0,0,co.id is not a suspecious tld,0,0,1,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,381,0,3,phishing
['http://a44702.24houcryptowatcher.com/'],172.67.153.13,com,http,37,1,29,False,False,7,0,0,False,4.080414513985239,0,2,2,False,False,False,False,0,5.030912467897808,1,0.5422222222222223,675,60,16,87,42,22,4.6875,7,0,0,0,0,0,35,0,0,7,0,366.0,4.789901097394087,0,1,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2086, 2087, 80, 8880, 8443, 443]",9,True,"Cloudflare, Inc.",0.668965,0,0,0,37,29,Don't have Ip in url,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.1891891891891892,0.2413793103448276,0,0,0,0,0,2,0,0,0,0,0,2,1,6,6,0,18,18,0,12.0,12.0,0,0,0,0,0,com is not a suspecious tld,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,0,0,phishing
['http://facebooksecuritys.blogspot.com.ee/'],142.250.66.129,ee,http,41,1,33,False,False,0,0,0,False,4.122693700152458,0,2,3,False,False,False,False,0,5.374862917186575,7,0.282997663620501,33813,2593,398,5600,990,923,7.032663316582915,284,0,0,0,0,5,1926,2,0,284,0,1366.142857142857,3.4629886809764363,3,1,2009-09-25 05:40:03,2024-09-25 05:40:03,2023-08-24 09:51:56,5134,5479,344,"MarkMonitor, Inc.",US,HK,"[80, 443]",2,True,Google LLC,0.929176,0,0,5134,41,33,Don't have Ip in url,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,t.co,0,1,0,2,1,8,8,0,17,17,0,12.5,12.5,0,0,0,0,0,com.ee is not a suspecious tld,0,0,1,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,268,0,3,phishing
['http://a3020.24houcryptowatcher.com/'],104.21.40.148,com,http,36,1,28,False,False,6,0,0,False,4.0860486123130375,0,2,2,False,False,False,False,0,5.030912467897808,1,0.5422222222222223,675,60,16,87,42,22,4.6875,7,0,0,0,0,0,35,0,0,7,0,366.0,4.789901097394087,0,1,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2086, 2087, 80, 8880, 8443, 443]",9,True,"Cloudflare, Inc.",0.383721,0,0,0,36,28,Don't have Ip in url,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.16666666666666666,0.21428571428571427,0,0,0,0,0,2,0,0,0,0,0,2,0,5,5,0,18,18,0,11.5,11.5,0,0,0,0,0,com is not a suspecious tld,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,0,0,phishing
['https://trameribb.net/'],172.67.170.216,net,https,22,1,13,False,False,0,0,0,False,3.6069367321753205,0,2,1,False,False,False,False,0,4.8692933216008445,12,0.8667116964989305,17766,1153,180,2967,621,923,7.222222222222222,33,0,0,0,0,0,1276,8,0,33,0,1282.25,1.6153593707110934,2,2,None,None,None,0,0,0,,,US,"[2096, 2082, 2083, 2086, 2087, 80, 8880, 8080, 8443, 443]",10,True,"Cloudflare, Inc.",0.506717,0,0,0,22,13,Don't have Ip in url,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,2,0,1,1,9,9,0,9,9,0,9.0,9.0,0,0,0,0,0,net is not a suspecious tld,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,353,0,0,phishing
['http://credential-phishing.file-auto-download-test-sandbox.workers.dev/'],172.67.197.101,dev,http,71,1,63,False,False,0,0,0,False,4.380410373831701,0,2,3,False,False,False,False,0,4.937367797003894,3,0.13416856492027335,4390,293,38,633,220,123,8.68421052631579,43,2,0,0,0,2,643,0,0,43,0,195.66666666666666,4.442724026202854,0,1,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2086, 2087, 80, 8443, 443]",8,True,"Cloudflare, Inc.",0.083427,0,0,0,71,63,Don't have Ip in url,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,8,0,4,4,0,10,10,0,6.5,6.5,0,0,0,0,0,dev is not a suspecious tld,0,0,0,100.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,846,0,5,phishing
